STP248 	STP248.12601
STP294 	STP294.12602
STP51B 	STP51B.12603
STP572 	STP572.12604
STP672 	STP672.12605
STP701 	STP701.12606
STP748 	STP748.12607
Alig_mis 	Alig_mis.
UHM17 	UHM17.10826
UHM18 	UHM18.10827
UHM20 	UHM20.10828
UHM27 	UHM27.10829
UHM31 	UHM31.10830
UHM36 	UHM36.10832
UHM38 	UHM38.10833
UHM44 	UHM44.10837
UHM56 	UHM56.10839
UHM102 	UHM102.10840
UHM1073 	UHM1073.23039
UHM298 	UHM298.23040
UHM40 	UHM40.10834
UHM41 	UHM41.10835
UHM899 	UHM899.23043
UHM973 	UHM973.23044
UHM979 	UHM979.23045
UHM982 	UHM982.23046
UHM984 	UHM984.23047
UHM997 	UHM997.23048
UHM993 	UHM993.23065
UHM989 	UHM989.23064
UHM1327 	UHM1327.23073
UHM1228 	UHM1228.23072
UHM1225 	UHM1225.23071
UHM1210 	UHM1210.23070
UHM1171 	UHM1171.23069
UHM1110 	UHM1110.23068
UHM1088 	UHM1088.23067
UHM1080 	UHM1080.23066
UHM897 	UHM897.23053
UHM896 	UHM896.23052
UHM893 	UHM893.23051
UHM892 	UHM892.23050
UHM467 	UHM467.23049
UHM45 	UHM45.10838
UHM43 	UHM43.10836
UHM33 	UHM33.10831
UHM245 	UHM245.23042
UHM207 	UHM207.23041
UHM978 	UHM978.23063
UHM975 	UHM975.23062
UHM969 	UHM969.23061
UHM967 	UHM967.23060
UHM909 	UHM909.23059
UHM907 	UHM907.23058
UHM906 	UHM906.23057
UHM905 	UHM905.23056
UHM904 	UHM904.23055
UHM902 	UHM902.23054
UHM17 	UHM17.35739
UHM17 	UHM17.35740
UHM18 	UHM18.35741
UHM18 	UHM18.35742
UHM20 	UHM20.35743
UHM20 	UHM20.35744
UHM22 	UHM22.35745
UHM22 	UHM22.35746
UHM22 	UHM22.35747
UHM31 	UHM31.35748
UHM31 	UHM31.35749
UHM36 	UHM36.35750
UHM36 	UHM36.35751
UHM38 	UHM38.35752
UHM38 	UHM38.35753
UHM40 	UHM40.35754
UHM40 	UHM40.35755
UHM41 	UHM41.35756
UHM41 	UHM41.35757
UHM45 	UHM45.35758
UHM45 	UHM45.35759
UHM56 	UHM56.35760
UHM56 	UHM56.35761
UHM72 	UHM72.35762
UHM72 	UHM72.35763
UHM72 	UHM72.35764
UHM102 	UHM102.35765
UHM102 	UHM102.35766
UHM102 	UHM102.35767
UHM125 	UHM125.35768
UHM125 	UHM125.35769
UHM125 	UHM125.35770
UHM145 	UHM145.35771
UHM145 	UHM145.35772
UHM145 	UHM145.35773
UHM739 	UHM739.35775
UHM740 	UHM740.35774
UHM554 	UHM554.40991
UHM558 	UHM558.40992
UHM562 	UHM562.40993
UHM563 	UHM563.40994
UHM564 	UHM564.40995
UHM565 	UHM565.40996
UHM570 	UHM570.40997
UHM572 	UHM572.40998
UHM573 	UHM573.40999
UHM574 	UHM574.41000
UHM575 	UHM575.41001
UHM577 	UHM577.41002
UHM578 	UHM578.41003
UHM580 	UHM580.41004
UHM581 	UHM581.41005
UHM582 	UHM582.41006
UHM583 	UHM583.41007
UHM584 	UHM584.41008
UHM585 	UHM585.41009
UHM586 	UHM586.41010
UHM587 	UHM587.41011
UHM590 	UHM590.41012
UHM591 	UHM591.41013
UHM594 	UHM594.41014
UHM596 	UHM596.41015
UHM598 	UHM598.41016
UHM607 	UHM607.41017
UHM608 	UHM608.41018
UHM610 	UHM610.41019
UHM611 	UHM611.41020
UHM615 	UHM615.41021
UHM616 	UHM616.41022
UHM207 	UHM207.41070
UHM245 	UHM245.41071
UHM298 	UHM298.41072
UHM467 	UHM467.41073
UHM892 	UHM892.41074
UHM893 	UHM893.41075
UHM897 	UHM897.41076
UHM904 	UHM904.41079
UHM906 	UHM906.41081
UHM909 	UHM909.41083
UHM969 	UHM969.41085
UHM973 	UHM973.41086
UHM975 	UHM975.41087
UHM978 	UHM978.41088
UHM979 	UHM979.41089
UHM982 	UHM982.41090
UHM984 	UHM984.41091
UHM989 	UHM989.41093
UHM993 	UHM993.41094
UHM997 	UHM997.41095
UHM1073 	UHM1073.41096
UHM1080 	UHM1080.41097
UHM1088 	UHM1088.41098
UHM1110 	UHM1110.41099
UHM1210 	UHM1210.41100
UHM1225 	UHM1225.41101
UHM1228 	UHM1228.41102
UHM1327 	UHM1327.41103
UHM1171 	UHM1171.41104
UHM986 	UHM986.41092
UHM617 	UHM617.41023
UHM624 	UHM624.41024
UHM626 	UHM626.41025
UHM633 	UHM633.41028
UHM634 	UHM634.41029
UHM636 	UHM636.41030
UHM644 	UHM644.41031
UHM648 	UHM648.41909
UHM649 	UHM649.41032
UHM656 	UHM656.41033
UHM666 	UHM666.41034
UHM899 	UHM899.41077
UHM902 	UHM902.41078
UHM905 	UHM905.41080
UHM907 	UHM907.41082
UHM967 	UHM967.41084
UHM628 	UHM628.41026
UHM632 	UHM632.41027
